Tapahtuma,Tapahtuma.1,Tyyppi1,1-Energia,X-Kulma,Y-Kulma,Z-Kulma,Transversaalinen-liike-energia,Eta,Phi,Varaus,Tyyppi2,2-Energia,X-Kulma2,Y-Kulma2,Z-Kulma2,Transversaalinen-liike-energia2,Eta2,Phi2,Varaus2,Massa[GeV],Massa(kg),Phi(deg),Phi2(deg)
163340,70856626,G,28.2802,-8.10524,-1.71531,27.0393,8.28476,1.8987,-2.93304,-1,T,3.94487,-0.563129,-1.44495,3.62571,1.55081,1.58531,-1.94241,1,3.6037,6.424178750931828e-27,-168.05081314303993,-111.29189508399891
163340,71134138,G,11.0644,10.8495,-0.838016,1.99857,10.8819,0.182643,-0.0770867,1,G,9.69324,9.38068,-1.94003,-1.47879,9.57919,-0.153768,-0.2039369999999999,-1,3.6917,6.581052999643429e-27,-4.416742566590832,-11.684729386558693
163340,71225820,G,12.3628,-5.10031,-3.22682,-10.7889,6.03536,-1.34441,-2.5775,1,G,36.2691,-10.2596,-6.49869,-34.1752,12.1446,-1.75793,-2.57696,-1,3.5738300000000005,6.370930639465742e-27,-147.67987169495999,-147.6489319740229
163340,71974724,G,5.89131,-2.00314,-3.9499,-3.88356,4.4288,-0.791588,-2.04014,1,G,5.22484,1.66009,-4.10588,-2.77013,4.42879,-0.590553,-1.18657,-1,3.77939,6.737374623160706e-27,-116.89141161581207,-67.98545309683361
163340,72028210,G,12.4812,-9.93185,-1.50266,-7.40741,10.0449,-0.6830609999999999,-2.99143,-1,G,7.811560000000001,-6.104509999999999,-3.5077300000000005,-3.38231,7.00547,-0.463602,-2.6201,1,3.62066,6.454412697047154e-27,-171.39631370880858,-150.1206719022171
163340,72854560,G,13.8351,1.7512,3.1547400000000003,-13.3559,3.6082,-2.01966,1.06404,-1,G,10.0914,4.1163,0.978598,-9.16094,4.2310300000000005,-1.51516,0.233404,1,3.73577,6.659614910333433e-27,60.9650012330961,13.373064121470586
163340,73027469,G,8.794880000000001,0.318173,-6.00775,6.41439,6.01617,0.927413,-1.51789,-1,G,14.4434,-2.13781,-12.1821,7.45835,12.3683,0.571414,-1.74452,1,3.65831,6.521529918228879e-27,-86.96869076510679,-99.95363327615578
163340,73558563,G,15.0267,-13.4747,2.85527,-6.00586,13.7739,-0.423279,2.93278,-1,T,11.4976,-10.3455,-0.911818,-4.931780000000001,10.3856,-0.458618,-3.05368,1,3.56742,6.359503776576635e-27,168.0359162403665,-174.96297598349767
163340,73333431,G,11.9015,-1.2633299999999998,5.83507,10.2951,5.97026,1.31313,1.78401,1,G,6.360180000000001,-3.07811,3.34776,4.44505,4.54777,0.86531,2.31426,-1,3.61143,6.437958727551608e-27,102.21624360912726,132.59733069593716
163340,74203311,G,24.9571,-8.640830000000001,7.42227,22.2056,11.390999999999998,1.42078,2.43191,1,G,12.2607,-6.10675,2.11537,10.4186,6.46275,1.25538,2.80813,-1,3.51662,6.268944551184028e-27,139.33817915565083,160.89399732406125
163340,73969003,G,11.7609,-3.39849,9.4348,-6.14341,10.0282,-0.5796100000000001,1.91654,-1,G,13.1131,-4.8214,7.777089999999999,-9.39221,9.15035,-0.899941,2.12576,1,3.68014,6.56044542788086e-27,109.80965326799556,121.79707625772186
163340,75174501,G,26.5449,-0.956213,5.70571,-25.9066,5.78528,-2.20457,1.7368400000000002,1,G,33.299,-3.4139699999999995,10.4145,-31.4436,10.9598,-1.7761900000000002,1.88757,-1,3.64657,6.500601467321218e-27,99.51360168949536,108.14979453550168
163340,75009646,G,8.75433,4.30794,-5.54127,5.230980000000001,7.018839999999999,0.6893640000000001,-0.909971,1,G,10.5758,1.58477,-8.423630000000001,6.1942,8.57141,0.67113,-1.38484,-1,3.65763,6.520317708125199e-27,-52.1374977792956,-79.3454873008917
163340,75448061,G,32.595,3.68968,-5.28722,31.9508,6.44736,2.3037,-0.961516,-1,T,3.12907,1.12375,0.275701,2.90536,1.15707,1.65129,0.240589,1,3.6017,6.4206134270974714e-27,-55.090808734297234,13.784734297272054
163340,76258921,G,13.7672,-1.70074,-2.76424,13.3788,3.24554,2.12393,-2.12237,1,G,5.05476,-0.325192,1.19172,4.90036,1.23529,2.08667,1.83719,-1,3.68281,6.565205135199722e-27,-121.60284356517253,105.26323316363279
163340,76420666,G,34.5824,9.8161,-15.0878,-29.5286,17.9999,-1.27025,-0.994,-1,G,20.7113,3.43355,-8.057310000000001,-18.768,8.758389999999999,-1.50576,-1.16796,1,3.68659,6.571943597246654e-27,-56.95200483600007,-66.91917864009523
163340,76743778,G,14.4909,2.04382,-4.03049,13.7678,4.519080000000001,1.83308,-1.10149,-1,G,8.10255,-1.40904,-2.99573,7.39462,3.31056,1.5435,-2.01044,1,3.5839,6.388882044971717e-27,-63.11072817586089,-115.18972696427365
163340,76404765,G,17.5723,-7.11155,-4.347,15.4695,8.3349,1.37731,-2.59294,1,G,6.06364,-3.5041,0.394913,4.931719999999999,3.5262800000000003,1.13715,3.02937,-1,3.76014,6.703058381255044e-27,-148.5645185306419,173.57011558353477
163340,76888389,G,11.7404,0.121972,5.7583400000000005,-10.23,5.7596300000000005,-1.3388,1.54962,1,G,12.7076,-2.14935,3.33339,-12.0723,3.96626,-1.83219,2.1435,-1,3.68003,6.56024933506997e-27,88.78668584905678,122.81350338628387
163340,78256996,G,11.6723,-3.8602,0.144241,-11.014,3.86289,-1.77032,3.1042400000000003,-1,G,7.52747,-3.12637,-2.56707,-6.34725,4.04525,-1.2324700000000002,-2.45412,1,3.54031,6.3111758120019584e-27,177.85985059567898,-140.61071841863634
163340,77885357,G,9.21022,-1.6827299999999998,1.53971,8.92271,2.28085,2.07315,2.40055,-1,T,7.312239999999999,1.69863,0.148666,7.10987,1.70512,2.13507,0.0872985,1,3.61902,6.451489131502983e-27,137.5413835101207,5.001835607822487
163340,77802003,G,10.7668,2.20739,6.47521,-8.313419999999999,6.84112,-1.02568,1.24225,-1,G,22.6725,8.63916,15.2673,-14.3634,17.5421,-0.7472770000000001,1.05586,1,3.68375,6.56688083740187e-27,71.17568210012183,60.496321756679116
163340,78136227,G,25.3598,5.492719999999999,-6.01147,24.0167,8.14296,1.80232,-0.8304600000000001,-1,T,4.87601,2.00938,0.19089,4.43737,2.01843,1.52901,0.0947154,1,3.79618,6.767305516750113e-27,-47.58185305443122,5.42679267489304
163340,78466329,G,7.71048,-4.38373,-6.16581,-1.48529,7.565339999999999,-0.195088,-2.18885,1,G,14.2866,-7.53905,-11.9327,2.2063900000000003,14.1148,0.155688,-2.13427,-1,3.69342,6.584119178140975e-27,-125.41186698720198,-122.28466334137815
163340,78557664,G,7.896439999999999,7.80498,-1.14059,-0.3519,8.39077,-0.0399208,-0.143793,-1,T,24.3582,23.9793,0.328188,4.26569,23.9815,0.176949,0.0136855,1,3.76072,6.704092325167008e-27,-8.238732023524104,0.7841213905262364
163340,79059945,G,15.2845,13.8884,6.36526,-0.448866,15.2775,-0.0293765999999999,0.4297479999999999,1,G,18.9499,15.2857,11.1822,0.624955,18.9393,0.0329919,0.631586,-1,3.5942300000000005,6.4072969425761596e-27,24.622746654186475,36.187212199547226
163340,79076328,G,6.36538,3.6249,2.01397,4.82814,4.1468,0.99292,0.5071289999999999,-1,G,13.7905,10.4037,6.49006,6.3094,12.2621,0.494185,0.557751,1,3.61859,6.4507225868785966e-27,29.056351368688006,31.956778319199074
163340,79444039,G,9.6888,-5.38053,-7.375889999999999,-3.24158,9.12984,-0.347988,-2.20103,1,G,6.84362,-5.74333,-2.81189,-2.43545,6.39473,-0.372199,-2.68631,-1,3.68256,6.564759469720429e-27,-126.10972958167126,-153.91422546377805
163340,81184928,G,25.877,5.1134900000000005,-5.96117,-24.6561,7.85388,-1.86162,-0.861791,-1,G,9.1703,3.86285,-2.08363,-8.05109,4.38898,-1.36702,-0.49467,1,3.64108,6.490814653395914e-27,-49.37698712235547,-28.342503251734566
163340,80833427,G,16.8512,2.43499,3.14677,-16.3744,3.97886,-2.12232,0.912233,1,G,6.0524,3.0183,1.02289,-5.14432,3.18691,-1.25649,0.3267489999999999,-1,3.79424,6.76384715263079e-27,52.26710083255418,18.721338660118896
163340,81416370,G,4.97658,-2.85785,-2.45992,3.24602,3.77075,0.7794770000000001,-2.43089,1,T,5.36099,-3.41813,0.941699,4.01978,3.5454800000000004,0.972877,2.87276,-1,3.51859,6.272456395160867e-27,-139.27973746054752,164.59702355399153
163340,81442093,G,5.02386,-1.5266,-1.89277,-4.394880000000001,2.43168,-1.354,-2.24952,1,T,11.6808,-2.49955,0.8338049999999999,-11.3792,2.63495,-2.16922,2.81962,-1,3.59053,6.4007010934826025e-27,-128.88800193026046,161.55232583066655
163340,81446388,G,9.83402,8.237160000000001,4.46528,2.9845,9.36961,0.313375,0.49675,1,G,7.9606,5.97863,1.43174,5.0563,6.14767,0.750121,0.2350489999999999,-1,3.88982,6.934233978674596e-27,28.461678473121772,13.467315678769594
163340,81530716,G,9.78954,-3.04443,-8.47362,3.840980000000001,9.00393,0.414609,-1.91572,1,G,16.2569,-7.554530000000001,-11.2667,8.95917,13.565,0.619975,-2.16146,-1,3.54342,6.3167198905643785e-27,-109.76267072879484,-123.84253558633876
163340,82767317,G,10.6885,-9.59048,-2.79921,3.79743,9.99064,0.371494,-2.85761,-1,T,9.17522,-9.01373,0.467227,1.64553,9.02583,0.181319,3.0898,1,3.65889,6.522563862140843e-27,-163.7289924943684,177.0324995395101
163340,83071319,G,15.4541,7.78478,3.80778,-12.7952,8.666139999999999,-1.18163,0.4549149999999999,-1,G,13.1778,8.55068,4.97901,-8.70284,9.89468,-0.793587,0.527299,1,3.6836,6.566613438114293e-27,26.064709537192122,30.2120072414668
163340,83533953,G,11.299,4.208480000000001,-9.57437,-4.27507,10.4585,-0.398162,-1.15666,1,G,8.16511,4.72687,-4.76152,-4.65215,6.70935,-0.647237,-0.78905,-1,3.71454,6.621768997831758e-27,-66.27173633159744,-45.20923482479463
163340,83826261,G,20.6243,1.4035,7.799580000000001,-19.0407,7.92485,-1.61046,1.39276,1,T,6.36532,2.02425,1.09369,-5.93401,2.30082,-1.6762099999999998,0.495363,-1,3.72361,6.637937741420557e-27,79.79926987463527,28.382209226937128
163340,83812127,G,20.9082,-18.7876,-2.0221,8.94859,18.8961,0.457446,-3.03438,-1,G,11.6689,-9.36719,0.4721649999999999,6.941510000000001,9.37908,0.685213,3.09123,1,3.69789,6.592087676910757e-27,-173.8571674388953,177.1144325042138
163340,83844062,G,9.46551,4.655959999999999,2.3324,-7.903589999999999,5.20749,-1.20456,0.4644069999999999,1,G,9.88468,3.684930000000001,-1.06297,-9.10973,3.83518,-1.5999,-0.280841,-1,3.71418,6.621127239541574e-27,26.608561076330265,-16.091004014232492
163340,84205921,G,11.0756,3.28526,-5.15474,-9.23544,6.11263,-1.20078,-1.00338,1,G,15.4765,0.563025,-6.26631,-14.1396,6.29155,-1.5491,-1.48119,-1,3.65696,6.51912332464069e-27,-57.48943924783275,-84.86593565697682
163340,84237584,G,13.4513,-3.76174,-5.11114,11.8596,6.34621,1.38336,-2.20527,-1,G,10.0517,-5.63227,-2.67695,7.882639999999999,6.23607,1.05633,-2.69791,1,3.705130000000001,6.604994149191122e-27,-126.35266368680674,-154.57885650612974
163340,83874239,G,6.03008,1.67648,-0.0981919,5.79055,1.67936,1.95136,-0.0585033,-1,G,9.36945,-1.07579,-2.60812,8.93397,2.82128,1.86986,-1.96201,1,3.55656,6.3401440681560886e-27,-3.3519921775874884,-112.41489236245525
163340,84629748,G,15.0332,12.4772,2.76537,7.915760000000001,12.7799,0.58538,0.218108,-1,G,4.67914,2.5401,1.95629,3.40646,3.1960900000000003,0.924347,0.655625,1,3.54564,6.3206774000205124e-27,12.496667878038535,37.564545443262126
163340,84516241,G,8.16492,5.56472,-3.86376,4.55632,6.77457,0.630045,-0.606911,1,G,8.960930000000001,3.73393,-7.127680000000001,3.94221,8.046489999999999,0.472186,-1.08824,-1,3.71392,6.620663747443107e-27,-34.77343884006201,-62.3515590973126
163340,84833589,G,19.9119,3.21719,5.02941,-18.9955,5.97037,-1.87437,1.00171,-1,G,6.43195,2.91689,1.97476,-5.3806,3.5224900000000003,-1.20992,0.595128,1,3.62228,6.4573006093529804e-27,57.39375529604592,34.09832267005941
163340,84407851,G,25.7519,-12.8633,-12.6112,-18.4022,18.014,-0.896531,-2.36609,1,G,12.6887,-4.73267,-8.166319999999999,-8.4796,9.43859,-0.807675,-2.09603,-1,3.70391,6.602819301652165e-27,-135.56697094810002,-120.09367273279803
163340,84392023,G,16.773,-0.449908,-6.922210000000001,15.271,6.93682,1.53025,-1.6357,-1,G,9.9712,0.8227979999999999,-6.332990000000001,7.657019999999999,6.38622,1.0153299999999998,-1.4416,1,3.70399,6.602961914605537e-27,-93.71870654954257,-82.59759574605404
163340,85445403,G,166.614,-30.6524,-7.67236,-163.59,31.598000000000003,-2.34662,-2.89633,1,T,5.11459,-0.972004,0.437224,-5.00119,1.06581,-2.25025,2.71889,-1,3.89552,6.944395151602507e-27,-165.94748507711478,155.78092196031412
163340,85923196,G,8.11445,-3.31978,-7.109389999999999,2.06611,7.84629,0.260372,-2.00766,1,G,7.95038,-1.98068,-5.68726,5.18935,6.02229,0.780119,-1.90593,-1,3.68619,6.571230532479782e-27,-115.03044469722728,-109.20174504736178
163340,86496666,G,6.557119999999999,4.11385,4.70616,-1.97813,6.25074,-0.311405,0.852453,1,G,10.3023,5.73341,4.81465,-7.0762100000000006,7.48685,-0.8420540000000001,0.698515,-1,3.82671,6.821730185081536e-27,48.84195913326235,40.02196142657806
163340,86401539,G,41.058,-14.8778,4.22831,-38.0331,15.467,-1.63189,2.86469,1,G,38.9297,-10.9732,2.95197,-37.2342,11.3633,-1.9025,2.8788,-1,3.60946,6.4344468835747686e-27,164.13464661332097,164.94309006225052
163340,87250745,G,61.8113,1.0425,-18.0792,59.0989,18.1093,1.89862,-1.5132,1,T,3.13651,-0.635518,-0.425041,3.04007,0.764555,2.08894,-2.55211,-1,3.79384,6.763134087863918e-27,-86.69997355919047,-146.2251318531229
163340,88342035,G,23.189,10.3933,-2.15465,-20.6168,10.6143,-1.41756,-0.204416,1,T,8.43799,2.38879,-2.36392,-7.73912,3.36072,-1.5714,-0.780167,-1,3.52204,6.278606578775129e-27,-11.712174064945465,-44.70027641537995
163340,87903908,G,32.6561,-10.7416,3.5859300000000003,-30.6296,11.3243,-1.7207,2.8193900000000003,1,T,4.89631,-0.4169489999999999,1.25752,-4.71248,1.32484,-1.98127,1.89095,-1,3.62665,6.465090841931046e-27,161.53914780137856,108.34345427025588
163340,88517001,G,6.70252,-1.09839,-1.41324,-6.45825,1.7898900000000002,-1.99502,-2.23149,1,T,5.9103900000000005,0.7423069999999999,1.57333,-5.6475800000000005,1.73965,-1.89361,1.12996,-1,3.51882,6.2728664074018164e-27,-127.85495902563966,64.74193901859825
163340,90090971,G,16.0558,-0.8674790000000001,3.17056,15.7154,3.28709,2.26855,1.83786,1,G,6.73235,-1.99975,2.82393,5.77406,3.4602800000000005,1.28483,2.18697,-1,3.6537,6.513311846790692e-27,105.30162133590655,125.3041509217174
163340,89933602,G,9.35258,-0.563752,-3.33483,8.71898,3.38214,1.6758,-1.73826,1,G,17.3064,3.53234,-4.23696,16.4034,5.51627,1.81008,-0.875843,-1,3.663780000000001,6.531281078915842e-27,-99.59496169640391,-50.18210741607326
163340,90253279,G,12.0193,-6.10808,7.080889999999999,-7.55008,9.35134,-0.738421,2.28257,1,G,10.7709,-5.09666,8.57591,-4.05947,9.97608,-0.396453,2.10701,-1,3.73213,6.653126020954905e-27,130.7816274431677,120.72278039185163
163340,90263799,G,53.7518,-5.50271,18.6516,-50.1106,19.4464,-1.6754,1.85768,1,G,12.4437,-1.21773,5.89156,-10.8923,6.01609,-1.35554,1.77462,-1,3.5988800000000003,6.4155863204910316e-27,106.43722368585577,101.67823623949945
163340,90522613,G,15.9213,8.16323,6.3253900000000005,12.1173,10.3271,0.998798,0.659225,-1,G,13.5073,8.77523,2.63465,9.92416,9.1622,0.938974,0.291674,1,3.60871,6.433109887136885e-27,37.7708102495092,16.711689193697673
